Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,26.53381197141211,26.693235802043404,26.298664339339545,26.381864547729492,26480000,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000,24.805923508061987,24.817058905170082,23.90623813027048,24.3471736907959,212818400,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418457,55664000,40.066616900520884,40.7192221661336,39.963574653456554,40.15248489379883,27913900
2015-01-05,26.262296405064323,26.304144518013192,25.79399473602273,25.87918472290039,41182000,14.303333282470703,14.433333396911621,13.810667037963867,14.005999565124512,80527500,24.115562844263554,24.195732917857686,23.474203954532964,23.661266326904297,257142000,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,55484000,39.817605586393555,40.12673568438851,39.71456331228018,39.783260345458984,39673900
2015-01-06,25.930997174056603,25.966368522154774,25.186197680374406,25.240501403808594,54456000,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500,23.725855884690617,23.92405371719302,23.30050886726034,23.663501739501953,263188400,15.112000465393066,15.149999618530273,14.619000434875488,14.76449966430664,70380000,39.82617087936341,40.143886281413174,39.10486883440388,39.19932556152344,36447900
2015-01-07,25.455224660351615,25.482125663309546,25.091543245230124,25.166271209716797,46918000,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678223,44526000,23.872831085408613,24.095525411574826,23.76148392232551,23.99531364440918,160423600,14.875,15.064000129699707,14.766500473022461,14.920999526977539,52806000,39.482703005253256,39.89487524443229,39.06194527752319,39.6973762512207,29114100
2015-01-08,24.984928707622984,25.28334643817867,24.661599755775498,25.25395393371582,73054000,14.187333106994629,14.25333309173584,14.000666618347168,14.041333198547363,51637500,24.32489898747703,24.975165931725954,24.206869582021415,24.917264938354492,237458000,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,61768000,40.143886548867684,41.00257930927127,40.11812681426451,40.86518859863281,29645200
2015-01-09,25.317223821508133,25.338147878892897,24.84244536664587,24.94556999206543,42000000,13.928000450134277,13.998666763305664,13.663999557495117,13.77733325958252,70024500,25.090969990443114,25.2201331108292,24.543142137348912,24.943992614746094,214798000,15.074000358581543,15.143500328063965,14.833999633789062,14.846500396728516,51848000,40.88235824959413,41.06268292284421,40.27268724442334,40.521705627441406,23944200
2015-01-12,24.87183682306002,24.923649043990856,24.456841135285984,24.76323127746582,57138000,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500,25.075380895977165,25.082061453947656,24.229143472265044,24.329355239868164,198603200,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,68428000,40.71921114945673,40.82225664429584,39.80899887461624,40.01508331298828,23651900
2015-01-13,25.037735159360917,25.338146452437986,24.77319503439497,24.999374389648438,60958000,13.554667472839355,13.840666770935059,13.394000053405762,13.616666793823242,67159500,24.81482618930607,25.119917995302647,24.253637294716945,24.545366287231445,268367600,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,82728000,40.33281669136436,41.13998704086132,39.551406087128214,39.80901336669922,35270600
2015-01-14,24.930625368725586,25.32120968292744,24.81803455265047,25.205129623413086,52800000,12.388667106628418,13.013333320617676,12.333333015441895,12.845999717712402,173278500,24.282587482972506,24.60549354909599,24.16233235309282,24.45183563232422,195826400,14.596500396728516,14.795499801635742,14.324999809265137,14.66349983215332,110774000,39.46552658081055,39.70596283050806,39.173570851334254,39.46552658081055,29719600
2015-01-15,25.3525942427029,25.395438196600566,25.009836910143765,25.10947608947754,51068000,12.965999603271484,13.050000190734863,12.666666984558105,12.791333198547363,78247500,24.496374073457456,24.5097351883557,23.752575894394305,23.788206100463867,240056000,14.699999809265137,14.800000190734863,14.340999603271484,14.34749984741211,88384000,39.68879041443012,39.82618115961763,38.993247924363125,39.0533561706543,32750800
2015-01-16,25.06662972577749,25.450239323119213,25.063640303398515,25.430810928344727,49658000,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000,23.83497874300196,23.95746132916237,23.427447627984513,23.603376388549805,314053200,14.314000129699707,14.53950023651123,14.262499809265137,14.536999702453613,69564000,38.90737469756483,39.74030454499986,38.78715494551802,39.70595932006836,35695300
2015-01-20,25.54589277871002,25.687380065865817,25.37650675046371,25.404903411865234,46796000,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630371,67548000,24.01535261939484,24.266998267057435,23.716943071398276,24.21132469177246,199599600,14.629500389099121,14.668000221252441,14.319499969482422,14.472000122070312,61502000,39.7574876968443,40.05803223077218,39.13064216126313,39.83477020263672,36161900
2015-01-21,25.449741858437584,25.998254313548514,25.387467609061847,25.925518035888672,46356000,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000,24.262545986446522,24.732431147291503,24.111113777752077,24.396163940429688,194303600,14.482000350952148,15.300000190734863,14.36299991607666,14.862500190734863,201302000,39.44835329886389,39.62009254554055,39.053355324465144,39.43117904663086,39081100
2015-01-22,26.05554583692189,26.84468495099309,26.001244013606097,26.767963409423828,56068000,13.133333206176758,13.549332618713379,13.013333320617676,13.441332817077637,61753500,24.55427612004538,25.04643036178159,24.43402098374896,25.030841827392578,215185600,15.0,15.612500190734863,15.0,15.515999794006348,107252000,39.82618362749915,40.47878888866592,39.56857637376631,40.4702033996582,35898000
